City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,chiredzi,-21.05,31.6667,25.480000000000018,36,4,4.01,ZW,1726168508
155,vilyuchinsk,52.9306,158.4028,10.150000000000034,87,100,3.64,RU,1726168509
156,sanya,18.2431,109.505,25.090000000000032,100,75,1.0,CN,1726168510
157,morrope,-6.5417,-80.0111,24.54000000000002,54,38,7.01,PE,1726168513
158,vozhega,60.4725,40.2213,18.629999999999995,65,100,2.79,RU,1726168515
159,hirara,24.8,125.2833,28.150000000000034,89,75,5.14,JP,1726168516
160,el granada,37.5027,-122.4694,23.24000000000001,70,0,2.06,US,1726168517
161,jamestown,42.097,-79.2353,28.340000000000032,42,0,3.6,US,1726168468
162,vila velha,-20.3297,-40.2925,26.970000000000027,71,0,8.75,BR,1726168520
163,argostolion,38.1811,20.489,27.08000000000004,42,40,3.6,GR,1726168521
164,wajir,1.7471,40.0573,30.28000000000003,34,97,10.47,KE,1726168522
165,port douglas,-16.4833,145.4667,20.55000000000001,84,18,2.89,AU,1726168523
166,sao joao da barra,-21.6403,-41.0511,27.05000000000001,77,0,12.29,BR,1726168524
167,kapuskasing,49.4169,-82.4331,26.0,57,75,3.6,CA,1726168526
168,sretensk,52.2453,117.7093,1.2600000000000477,57,0,1.28,RU,1726168527
169,mocorito,25.4833,-107.9167,37.700000000000045,42,0,0.82,MX,1726168529
170,piatykhatky,48.4133,33.7106,20.670000000000016,69,100,2.66,UA,1726168530
171,vorgashor,67.5833,63.95,13.360000000000014,92,87,4.55,RU,1726168531
172,north platte,41.1239,-100.7654,29.100000000000023,39,0,10.29,US,1726168532
173,papatowai,-46.5619,169.4708,3.7800000000000296,90,65,0.96,NZ,1726168533
174,tanjung selor,2.8372,117.3642,23.950000000000045,81,100,1.9,ID,1726168534
175,auki,-8.7676,160.7034,24.120000000000005,92,81,1.87,SB,1726168535
176,selibaby,15.159,-12.1829,28.82000000000005,71,100,3.48,MR,1726168537
177,uturoa,-16.7333,-151.4333,25.980000000000018,83,17,8.24,PF,1726168540
178,vadso,70.0744,29.7487,16.090000000000032,72,0,3.09,NO,1726168541
179,northam,51.0333,-4.2167,12.010000000000048,78,40,8.04,GB,1726168542
180,aars,56.804,9.5144,9.200000000000045,85,63,3.11,DK,1726168543
181,labasa,-16.4167,179.3833,24.310000000000002,86,40,3.41,FJ,1726168545
182,ivins,37.1686,-113.6794,31.75,9,64,1.34,US,1726168546
183,nuuk,64.1835,-51.7216,10.340000000000032,71,75,3.09,GL,1726168547
184,alice town,25.7167,-79.3,29.260000000000048,71,100,1.82,BS,1726168548
185,kyren,51.6828,102.1408,4.180000000000007,85,100,0.32,RU,1726168549
186,terbanggi besar,-4.8667,105.2333,24.879999999999995,84,70,1.43,ID,1726168550
187,mytilene,39.11,26.5547,24.950000000000045,77,0,2.06,GR,1726168551
188,ola,59.5833,151.2833,8.230000000000018,90,100,4.95,RU,1726168552
189,fenoarivo be,-18.4333,46.5667,21.650000000000034,53,6,3.85,MG,1726168554
190,qaqortoq,60.7167,-46.0333,7.100000000000023,94,100,1.7,GL,1726168555
191,afaahiti,-17.75,-149.2833,23.970000000000027,86,8,9.89,PF,1726168556
192,bonnyville,54.2668,-110.735,14.57000000000005,50,100,3.62,CA,1726168557
193,teglas,47.7167,21.6833,17.80000000000001,59,76,2.94,HU,1726168558
194,maxixe,-23.8597,35.3472,22.900000000000034,83,20,3.09,MZ,1726168559
195,khorixas,-20.3667,14.9667,20.170000000000016,27,0,3.12,NA,1726168560
196,sorong,-0.8833,131.25,25.640000000000043,89,100,5.86,ID,1726168562
197,rio claro,-22.4114,-47.5614,34.02000000000004,12,0,3.6,BR,1726168563
198,talara,-4.5772,-81.2719,24.420000000000016,78,0,6.17,PE,1726168564
199,portland,45.5234,-122.6762,19.200000000000045,82,75,2.57,US,1726168565
200,pechory,57.8164,27.6119,16.79000000000002,90,100,1.13,RU,1726168566
201,saldanha,-33.0117,17.9442,11.730000000000018,80,82,2.05,ZA,1726168567
202,crane,31.3974,-102.3501,31.83000000000004,29,0,6.52,US,1726168568
203,eureka,40.8021,-124.1637,18.650000000000034,85,0,2.24,US,1726168505
204,visby,57.6409,18.296,11.120000000000005,93,40,2.06,SE,1726168571
205,mpulungu,-8.7623,31.1141,27.57000000000005,34,99,4.66,ZM,1726168572
206,harfleur,49.5066,0.1983,13.53000000000003,54,100,6.17,FR,1726168573
207,birjand,32.8663,59.2211,20.260000000000048,15,0,3.09,IR,1726168574
